Site Name,ODYLIGHT,,,
Site Number,1,,,
Logger,Integrating Light Sensor,,,
Logger Serial Number,15640,,,
,,,,
,,,,
Scan No,Date and Time,Integrating Light,,
,,RAW VALUE,CALIBRATED VALUE,
,,,,
474,08/03/2022,16:00:00,6116,6166.1
475,08/03/2022,16:10:00,5560,5605.5
476,08/03/2022,16:20:00,5038,5079.2
477,08/03/2022,16:30:00,4638,4676
478,08/03/2022,16:40:00,3903,3935
479,08/03/2022,16:50:00,3278,3304.8
480,08/03/2022,17:00:00,2730,2752.4
481,08/03/2022,17:10:00,2370,2389.4
482,08/03/2022,17:20:00,1632,1645.4
483,08/03/2022,17:30:00,1487,1499.2
484,08/03/2022,17:40:00,1166,1175.5
485,08/03/2022,17:50:00,903,910.4
486,08/03/2022,18:00:00,519,523.2
487,08/03/2022,18:10:00,272,274.2
488,08/03/2022,18:20:00,103,103.8
489,08/03/2022,18:30:00,23,23.2
490,08/03/2022,18:40:00,2,2
491,08/03/2022,18:50:00,0,0
492,08/03/2022,19:00:00,0,0
493,08/03/2022,19:10:00,0,0
494,08/03/2022,19:20:00,0,0
495,08/03/2022,19:30:00,0,0
496,08/03/2022,19:40:00,0,0
497,08/03/2022,19:50:00,0,0
498,08/03/2022,20:00:00,0,0
499,08/03/2022,20:10:00,0,0
500,08/03/2022,20:20:00,0,0
501,08/03/2022,20:30:00,0,0
502,08/03/2022,20:40:00,0,0
503,08/03/2022,20:50:00,0,0
504,08/03/2022,21:00:00,0,0
505,08/03/2022,21:10:00,0,0
506,08/03/2022,21:20:00,0,0
507,08/03/2022,21:30:00,0,0
508,08/03/2022,21:40:00,0,0
509,08/03/2022,21:50:00,0,0
510,08/03/2022,22:00:00,0,0
511,08/03/2022,22:10:00,0,0
512,08/03/2022,22:20:00,0,0
513,08/03/2022,22:30:00,0,0
514,08/03/2022,22:40:00,0,0
515,08/03/2022,22:50:00,0,0
516,08/03/2022,23:00:00,0,0
517,08/03/2022,23:10:00,0,0
518,08/03/2022,23:20:00,0,0
519,08/03/2022,23:30:00,0,0
520,08/03/2022,23:40:00,0,0
521,08/03/2022,23:50:00,0,0
522,08/03/2022,24:00:00,0,0
523,09/03/2022,0:10:00,0,0
524,09/03/2022,0:20:00,0,0
525,09/03/2022,0:30:00,0,0
526,09/03/2022,0:40:00,0,0
527,09/03/2022,0:50:00,0,0
528,09/03/2022,1:00:00,0,0
529,09/03/2022,1:10:00,0,0
530,09/03/2022,1:20:00,0,0
531,09/03/2022,1:30:00,0,0
532,09/03/2022,1:40:00,0,0
533,09/03/2022,1:50:00,0,0
534,09/03/2022,2:00:00,0,0
535,09/03/2022,2:10:00,0,0
536,09/03/2022,2:20:00,0,0
537,09/03/2022,2:30:00,0,0
538,09/03/2022,2:40:00,0,0
539,09/03/2022,2:50:00,0,0
540,09/03/2022,3:00:00,0,0
541,09/03/2022,3:10:00,0,0
542,09/03/2022,3:20:00,0,0
543,09/03/2022,3:30:00,0,0
544,09/03/2022,3:40:00,0,0
545,09/03/2022,3:50:00,0,0
546,09/03/2022,4:00:00,0,0
547,09/03/2022,4:10:00,0,0
548,09/03/2022,4:20:00,0,0
549,09/03/2022,4:30:00,0,0
550,09/03/2022,4:40:00,0,0
551,09/03/2022,4:50:00,0,0
552,09/03/2022,5:00:00,0,0
553,09/03/2022,5:10:00,0,0
554,09/03/2022,5:20:00,0,0
555,09/03/2022,5:30:00,0,0
556,09/03/2022,5:40:00,0,0
557,09/03/2022,5:50:00,3,3
558,09/03/2022,6:00:00,33,33.3
559,09/03/2022,6:10:00,119,120
560,09/03/2022,6:20:00,277,279.3
561,09/03/2022,6:30:00,494,498
562,09/03/2022,6:40:00,836,842.8
563,09/03/2022,6:50:00,1109,1118.1
564,09/03/2022,7:00:00,1647,1660.5
565,09/03/2022,7:10:00,1798,1812.7
566,09/03/2022,7:20:00,2535,2555.8
567,09/03/2022,7:30:00,3216,3242.3
568,09/03/2022,7:40:00,3772,3802.9
569,09/03/2022,7:50:00,4012,4044.8
570,09/03/2022,8:00:00,4801,4840.3
571,09/03/2022,8:10:00,5488,5532.9
572,09/03/2022,8:20:00,5967,6015.9
573,09/03/2022,8:30:00,6571,6624.8
574,09/03/2022,8:40:00,7139,7197.5
575,09/03/2022,8:50:00,7721,7784.2
576,09/03/2022,9:00:00,8354,8422.4
577,09/03/2022,9:10:00,8827,8899.3
578,09/03/2022,9:20:00,9477,9554.6
579,09/03/2022,9:30:00,9970,10051.6
580,09/03/2022,9:40:00,10682,10769.5
581,09/03/2022,9:50:00,10842,10930.8
582,09/03/2022,10:00:00,11857,11954.1
583,09/03/2022,10:10:00,12466,12568.1
584,09/03/2022,10:20:00,12273,12373.5
585,09/03/2022,10:30:00,12058,12156.7
586,09/03/2022,10:40:00,13237,13345.4
587,09/03/2022,10:50:00,13008,13114.5
588,09/03/2022,11:00:00,13439,13549
589,09/03/2022,11:10:00,13629,13740.6
590,09/03/2022,11:20:00,13835,13948.3
591,09/03/2022,11:30:00,13574,13685.1
592,09/03/2022,11:40:00,13903,14016.8
593,09/03/2022,11:50:00,14132,14247.7
594,09/03/2022,12:00:00,14358,14475.6
595,09/03/2022,12:10:00,14433,14551.2
596,09/03/2022,12:20:00,14317,14434.2
597,09/03/2022,12:30:00,14214,14330.4
598,09/03/2022,12:40:00,14259,14375.7
599,09/03/2022,12:50:00,14031,14145.9
600,09/03/2022,13:00:00,13924,14038
601,09/03/2022,13:10:00,13422,13531.9
602,09/03/2022,13:20:00,13258,13366.5
603,09/03/2022,13:30:00,13156,13263.7
604,09/03/2022,13:40:00,12878,12983.4
605,09/03/2022,13:50:00,12848,12953.2
606,09/03/2022,14:00:00,12564,12666.9
607,09/03/2022,14:10:00,12378,12479.3
608,09/03/2022,14:20:00,11025,11115.3
609,09/03/2022,14:30:00,11034,11124.3
610,09/03/2022,14:40:00,10592,10678.7
611,09/03/2022,14:50:00,10218,10301.7
612,09/03/2022,15:00:00,9521,9599
613,09/03/2022,15:10:00,8889,8961.8
614,09/03/2022,15:20:00,8548,8618
615,09/03/2022,15:30:00,7843,7907.2
616,09/03/2022,15:40:00,7348,7408.2
617,09/03/2022,15:50:00,6907,6963.6
618,09/03/2022,16:00:00,7073,7130.9
619,09/03/2022,16:10:00,5825,5872.7
620,09/03/2022,16:20:00,2488,2508.4
621,09/03/2022,16:30:00,5079,5120.6
622,09/03/2022,16:40:00,4049,4082.2
623,09/03/2022,16:50:00,3117,3142.5
624,09/03/2022,17:00:00,3172,3198
625,09/03/2022,17:10:00,2048,2064.8
626,09/03/2022,17:20:00,1281,1291.5
627,09/03/2022,17:30:00,1090,1098.9
628,09/03/2022,17:40:00,1159,1168.5
629,09/03/2022,17:50:00,836,842.8
630,09/03/2022,18:00:00,506,510.1
631,09/03/2022,18:10:00,273,275.2
632,09/03/2022,18:20:00,114,114.9
633,09/03/2022,18:30:00,27,27.2
634,09/03/2022,18:40:00,3,3
635,09/03/2022,18:50:00,0,0
636,09/03/2022,19:00:00,0,0
637,09/03/2022,19:10:00,0,0
638,09/03/2022,19:20:00,0,0
639,09/03/2022,19:30:00,0,0
640,09/03/2022,19:40:00,0,0
641,09/03/2022,19:50:00,0,0
642,09/03/2022,20:00:00,0,0
643,09/03/2022,20:10:00,0,0
644,09/03/2022,20:20:00,0,0
