#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux)
325,10/15/2022 02:30:00,25.87,0.21
326,10/15/2022 02:40:00,25.82,0.00
327,10/15/2022 02:50:00,25.78,0.00
328,10/15/2022 03:00:00,25.69,0.00
329,10/15/2022 03:10:00,25.69,0.00
330,10/15/2022 03:20:00,25.61,0.00
331,10/15/2022 03:30:00,25.52,0.00
332,10/15/2022 03:40:00,25.48,0.00
333,10/15/2022 03:50:00,25.44,0.00
334,10/15/2022 04:00:00,25.39,0.00
335,10/15/2022 04:10:00,25.39,0.00
336,10/15/2022 04:20:00,25.31,0.00
337,10/15/2022 04:30:00,25.31,0.00
338,10/15/2022 04:40:00,25.27,0.00
339,10/15/2022 04:50:00,25.27,0.00
340,10/15/2022 05:00:00,25.18,0.00
341,10/15/2022 05:10:00,25.18,0.42
342,10/15/2022 05:20:00,25.18,7.05
343,10/15/2022 05:30:00,25.14,42.92
344,10/15/2022 05:40:00,25.14,146.16
345,10/15/2022 05:50:00,25.14,237.36
346,10/15/2022 06:00:00,25.09,336.96
347,10/15/2022 06:10:00,25.09,553.92
348,10/15/2022 06:20:00,25.09,787.84
349,10/15/2022 06:30:00,25.14,1814.40
350,10/15/2022 06:40:00,25.14,606.08
351,10/15/2022 06:50:00,25.14,2388.48
352,10/15/2022 07:00:00,25.22,2805.76
353,10/15/2022 07:10:00,25.18,1101.12
354,10/15/2022 07:20:00,25.27,3685.12
355,10/15/2022 07:30:00,25.31,4020.48
356,10/15/2022 07:40:00,25.39,4314.88
357,10/15/2022 07:50:00,25.48,4739.84
358,10/15/2022 08:00:00,25.52,5108.48
359,10/15/2022 08:10:00,25.57,5601.28
360,10/15/2022 08:20:00,25.61,6272.00
361,10/15/2022 08:30:00,25.69,6415.36
362,10/15/2022 08:40:00,25.61,1347.84
363,10/15/2022 08:50:00,25.78,5088.00
364,10/15/2022 09:00:00,25.87,7856.64
365,10/15/2022 09:10:00,25.78,1461.76
366,10/15/2022 09:20:00,25.87,1509.12
367,10/15/2022 09:30:00,25.78,1793.92
368,10/15/2022 09:40:00,26.12,8801.28
369,10/15/2022 09:50:00,26.25,9704.96
370,10/15/2022 10:00:00,26.38,6251.52
371,10/15/2022 10:10:00,26.21,6955.52
372,10/15/2022 10:20:00,26.51,10416.64
373,10/15/2022 10:30:00,26.55,9991.68
374,10/15/2022 10:40:00,26.77,10306.56
375,10/15/2022 10:50:00,26.90,9984.00
376,10/15/2022 11:00:00,26.98,10150.40
377,10/15/2022 11:10:00,27.15,10191.36
378,10/15/2022 11:20:00,27.24,10265.60
379,10/15/2022 11:30:00,27.28,10465.28
380,10/15/2022 11:40:00,27.45,10567.68
381,10/15/2022 11:50:00,27.58,10634.24
382,10/15/2022 12:00:00,27.71,10224.64
383,10/15/2022 12:10:00,27.88,10273.28
384,10/15/2022 12:20:00,27.93,10216.96
385,10/15/2022 12:30:00,28.10,10245.12
386,10/15/2022 12:40:00,28.23,10531.84
387,10/15/2022 12:50:00,28.31,10823.68
388,10/15/2022 13:00:00,28.05,2174.72
389,10/15/2022 13:10:00,28.18,7144.96
390,10/15/2022 13:20:00,28.40,3104.00
391,10/15/2022 13:30:00,28.23,2689.28
392,10/15/2022 13:40:00,28.23,2190.08
393,10/15/2022 13:50:00,28.31,3320.32
394,10/15/2022 14:00:00,28.44,9333.76
395,10/15/2022 14:10:00,28.40,5409.28
396,10/15/2022 14:20:00,28.57,8220.16
397,10/15/2022 14:30:00,28.61,7864.32
398,10/15/2022 14:40:00,28.53,6952.96
399,10/15/2022 14:50:00,28.61,6668.80
400,10/15/2022 15:00:00,28.65,6753.28
401,10/15/2022 15:10:00,28.48,1153.28
402,10/15/2022 15:20:00,28.40,1173.76
403,10/15/2022 15:30:00,28.40,1279.04
404,10/15/2022 15:40:00,28.31,1547.52
405,10/15/2022 15:50:00,28.31,3074.56
406,10/15/2022 16:00:00,28.31,1722.88
407,10/15/2022 16:10:00,28.23,1003.52
408,10/15/2022 16:20:00,28.10,810.88
409,10/15/2022 16:30:00,28.05,792.64
410,10/15/2022 16:40:00,27.97,778.88
411,10/15/2022 16:50:00,27.97,1345.28
412,10/15/2022 17:00:00,27.93,819.52
413,10/15/2022 17:10:00,27.80,532.16
414,10/15/2022 17:20:00,27.71,416.96
415,10/15/2022 17:30:00,27.63,334.40
416,10/15/2022 17:40:00,27.58,240.80
417,10/15/2022 17:50:00,27.50,138.48
418,10/15/2022 18:00:00,27.41,44.70
419,10/15/2022 18:10:00,27.37,8.34
420,10/15/2022 18:20:00,27.28,0.64
421,10/15/2022 18:30:00,27.24,0.00
422,10/15/2022 18:40:00,27.20,0.00
423,10/15/2022 18:50:00,27.11,0.00
424,10/15/2022 19:00:00,27.07,0.00
425,10/15/2022 19:10:00,26.98,0.00
426,10/15/2022 19:20:00,26.94,0.00
427,10/15/2022 19:30:00,26.85,0.00
428,10/15/2022 19:40:00,26.81,0.00
429,10/15/2022 19:50:00,26.72,0.00
430,10/15/2022 20:00:00,26.38,0.00
431,10/15/2022 20:10:00,26.25,0.00
432,10/15/2022 20:20:00,26.25,0.00
433,10/15/2022 20:30:00,26.17,0.00
434,10/15/2022 20:40:00,26.12,0.00
435,10/15/2022 20:50:00,26.12,0.00
436,10/15/2022 21:00:00,26.08,0.00
437,10/15/2022 21:10:00,26.30,0.00
438,10/15/2022 21:20:00,26.47,0.00
439,10/15/2022 21:30:00,26.64,0.00
440,10/15/2022 21:40:00,26.72,0.00
441,10/15/2022 21:50:00,26.81,0.00
442,10/15/2022 22:00:00,26.81,0.00
443,10/15/2022 22:10:00,26.90,0.00
444,10/15/2022 22:20:00,26.85,0.00
445,10/15/2022 22:30:00,26.81,0.00
446,10/15/2022 22:40:00,26.72,0.00
447,10/15/2022 22:50:00,26.64,0.00
448,10/15/2022 23:00:00,26.60,0.00
449,10/15/2022 23:10:00,26.51,0.00
450,10/15/2022 23:20:00,26.42,0.00
451,10/15/2022 23:30:00,26.38,0.00
452,10/15/2022 23:40:00,26.38,0.00
453,10/15/2022 23:50:00,26.30,0.00
454,10/16/2022 00:00:00,26.25,0.00
455,10/16/2022 00:10:00,26.17,0.00
456,10/16/2022 00:20:00,26.12,0.00
457,10/16/2022 00:30:00,26.08,0.00
458,10/16/2022 00:40:00,25.99,0.00
459,10/16/2022 00:50:00,25.95,0.00
460,10/16/2022 01:00:00,25.91,0.00
461,10/16/2022 01:10:00,25.82,0.00
462,10/16/2022 01:20:00,25.82,0.00
463,10/16/2022 01:30:00,25.78,0.00
464,10/16/2022 01:40:00,25.74,0.00
465,10/16/2022 01:50:00,25.61,0.00
466,10/16/2022 02:00:00,25.65,0.00
467,10/16/2022 02:10:00,25.57,0.00
468,10/16/2022 02:20:00,25.52,0.21
469,10/16/2022 02:30:00,25.44,0.00
470,10/16/2022 02:40:00,25.44,0.00
471,10/16/2022 02:50:00,25.35,0.00
472,10/16/2022 03:00:00,25.35,0.00
473,10/16/2022 03:10:00,25.31,0.00
474,10/16/2022 03:20:00,25.22,0.00
475,10/16/2022 03:30:00,25.18,0.00
476,10/16/2022 03:40:00,25.14,0.00
477,10/16/2022 03:50:00,25.14,0.00
478,10/16/2022 04:00:00,25.01,0.00
479,10/16/2022 04:10:00,25.01,0.00
480,10/16/2022 04:20:00,25.01,0.00
481,10/16/2022 04:30:00,24.97,0.00
482,10/16/2022 04:40:00,24.92,0.00
483,10/16/2022 04:50:00,24.84,0.00
484,10/16/2022 05:00:00,24.84,0.00
485,10/16/2022 05:10:00,24.88,0.64
486,10/16/2022 05:20:00,24.79,9.86
487,10/16/2022 05:30:00,24.71,51.54
488,10/16/2022 05:40:00,24.71,140.08
