Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
31.10.22 14:40:28,12.8,95.4,99.14,50.03,73.85,66.07,75.56,77.67,101.17,98.53,99.56,103.27,102.34,100.73,81.82,83.4,76.65,66.37,115.54,82.18,109.66,86.25,99.31,104.47,82.01,,30,965,36,28.7,
31.10.22 14:40:43,13.05,95.4,99.42,50.03,73.72,65.94,75.43,77.53,101.32,98.97,100,103.27,102.34,100.88,81.41,83.26,76.5,66.23,115.87,82.04,109.66,86.39,99.13,104.62,81.45,,30,965,36,28.73,
31.10.22 14:40:58,13.3,95.4,99.57,49.79,73.33,65.55,75.16,77.26,101.32,98.97,99.85,103.27,102.49,100.88,81.13,82.98,76.08,66.1,115.7,82.04,109.82,86.25,98.61,104.47,81.02,,30,965,36,28.73,
31.10.22 14:41:13,13.55,95.4,99.71,49.3,72.94,65.16,74.76,76.98,101.17,98.82,99.71,103.27,102.49,100.88,80.72,82.42,75.66,65.57,115.7,82.04,109.66,85.97,98.1,104.62,80.32,,30,965,36,28.74,
31.10.22 14:41:28,13.8,95.4,99.57,48.94,72.42,65.03,74.22,76.98,101.47,98.82,99.85,103.27,102.34,101.03,80.31,82.14,75.37,65.17,115.87,82.04,109.97,85.97,97.41,104.62,79.48,,30,965,36,28.75,
31.10.22 14:41:43,14.05,95.26,99.57,48.57,72.16,64.77,73.95,76.85,101.32,98.82,99.71,103.42,102.49,101.03,79.9,81.86,74.81,64.64,115.7,82.18,109.97,86.11,96.89,104.47,79.34,,30,965,36,28.77,
31.10.22 14:41:58,14.3,95.26,99.57,48.21,72.02,64.39,73.68,76.58,101.32,98.97,99.85,103.42,102.64,101.03,79.62,81.44,74.39,64.24,115.87,82.04,109.66,85.55,96.37,104.62,78.64,,30,965,36,28.81,
31.10.22 14:42:13,14.55,95.4,99.71,47.85,71.89,64.13,73.68,76.44,101.61,99.12,99.85,103.57,102.64,101.17,79.48,81.3,74.25,63.84,116.04,82.18,109.97,85.83,96.2,104.62,78.64,,30,965,36,28.8,
31.10.22 14:42:28,14.8,95.4,99.86,47.72,71.63,63.87,73.55,76.17,101.47,98.97,100,103.57,102.64,101.32,79.07,81.3,73.96,63.58,115.87,82.04,110.13,85.97,95.86,104.92,78.36,,30,965,36,28.81,
31.10.22 14:42:43,15.05,95.54,99.86,47.48,71.63,63.87,73.28,76.17,101.91,99.41,100.44,103.72,102.93,101.47,79.07,81.02,73.68,63.44,116.2,82.18,110.13,85.97,95.51,105.07,78.08,,30,965,36,28.83,
31.10.22 14:42:58,15.3,95.4,99.86,47,71.37,63.48,72.88,76.03,101.61,98.82,100,103.72,102.78,101.32,78.66,80.88,73.54,63.05,116.2,82.04,110.13,85.69,95,105.07,77.53,,30,965,36,28.85,
31.10.22 14:43:13,15.55,95.54,99.86,46.76,71.11,63.22,72.61,75.76,101.76,99.12,100,103.72,102.78,101.32,78.53,80.6,73.26,62.65,116.37,82.04,110.29,85.55,94.66,104.92,77.25,,30,965,36,28.86,
31.10.22 14:43:28,15.8,95.4,99.86,46.27,70.73,62.97,72.07,75.49,101.61,99.26,100.15,103.72,102.64,101.32,78.39,80.32,72.7,62.39,116.2,81.9,110.29,85.27,94.14,104.92,76.56,,30,965,36,28.88,
31.10.22 14:43:43,16.05,95.54,99.71,45.91,70.6,62.71,71.94,75.36,101.91,99.26,100.29,103.72,102.93,101.47,78.26,79.91,72.56,62.26,116.37,81.9,110.29,85.41,93.97,104.92,76.14,,30,965,36,28.88,
31.10.22 14:43:58,16.3,95.54,100,45.67,70.47,62.32,71.67,75.22,101.91,99.41,100.44,103.72,102.93,101.61,78.12,79.63,72.14,62.13,116.37,81.76,110.29,85.27,93.63,105.07,75.59,,30,965,36,28.91,
31.10.22 14:44:13,16.55,95.4,100,45.31,70.08,61.94,71.27,74.81,101.76,99.12,100.29,103.72,102.93,101.32,77.71,79.35,71.58,61.6,116.2,81.48,110.29,84.99,92.78,104.92,74.9,,30,965,36,28.92,
31.10.22 14:44:28,16.8,95.54,100,45.19,69.82,61.43,70.88,74.81,102.05,99.26,100.29,104.16,102.93,101.61,77.71,79.07,71.3,61.34,116.37,81.62,110.29,84.85,92.44,105.07,74.62,,30,965,36,28.92,
31.10.22 14:44:43,17.05,95.4,100,44.59,69.56,61.3,70.21,74.68,101.76,99.26,100.29,103.86,102.93,101.47,77.17,78.8,70.75,60.55,116.37,81.48,110.45,84.99,91.76,105.22,74.07,,30,965,36,28.94,
31.10.22 14:44:58,17.3,95.4,100,44.35,69.04,60.92,69.68,74.41,101.91,99.41,100.44,104.16,102.93,101.47,77.03,78.52,70.33,59.5,116.37,81.34,110.45,84.72,91.25,105.22,73.38,,30,965,36,28.96,
31.10.22 14:45:13,17.55,95.69,100.14,43.99,68.79,60.92,69.68,74,101.91,99.56,100.58,104.16,103.23,101.76,76.89,78.38,70.19,58.85,116.71,81.34,110.45,84.72,90.91,105.37,72.56,,30,965,36,28.98,
31.10.22 14:45:28,17.8,95.69,100.29,43.52,68.66,60.79,69.42,74,102.35,99.71,100.73,104.16,103.23,101.91,76.62,78.24,69.91,58.2,116.71,81.34,110.77,84.85,90.4,105.53,71.6,,30,965,36,28.99,
31.10.22 14:45:43,18.05,95.4,100.29,43.28,68.14,60.28,68.89,73.87,102.2,99.56,100.58,104.01,103.23,101.61,76.08,77.55,69.5,57.68,116.71,80.92,110.77,84.44,89.89,105.22,70.92,,30,965,36,28.99,
31.10.22 14:45:58,18.3,95.4,100.29,42.68,67.89,60.15,68.89,73.6,102.2,99.56,100.73,104.16,103.23,101.91,75.95,77.41,69.08,57.29,116.87,81.06,110.61,84.3,89.55,105.37,70.51,,30,965,36,29.02,
31.10.22 14:46:13,18.55,95.4,100.14,42.44,67.76,59.77,68.36,73.33,102.2,99.56,100.58,104.01,103.08,101.61,75.54,77.14,68.67,56.77,116.71,80.92,110.61,84.02,88.88,105.37,69.97,,30,965,36,29.03,
31.10.22 14:46:28,18.8,95.4,100.14,42.09,67.37,59.51,68.1,73.06,102.35,99.71,100.58,104.16,103.08,101.61,75.27,76.72,68.25,56.52,116.54,80.78,110.61,84.02,88.54,105.22,69.7,,30,965,36,29.03,
31.10.22 14:46:43,19.05,95.54,100.29,41.85,66.99,59.13,67.83,72.93,102.35,99.85,100.58,104.16,103.37,101.76,74.87,76.59,68.11,56.39,116.71,80.64,110.77,84.02,88.37,105.37,69.56,,30,965,36,29.03,
31.10.22 14:46:58,19.3,95.4,100.29,41.49,66.6,59.01,67.7,72.66,102.2,99.71,100.58,104.31,103.23,101.76,74.33,76.31,67.98,56.13,116.71,80.5,110.77,83.88,88.04,105.53,69.16,,30,965,36,29.06,
31.10.22 14:47:13,19.55,95.26,100.29,41.02,66.22,58.5,67.31,72.53,102.2,99.71,100.73,104.01,103.23,101.61,74.06,76.04,67.56,55.74,116.71,80.36,110.77,83.6,87.2,105.37,69.16,,30,965,36,29.06,
31.10.22 14:47:28,19.8,95.4,100.58,40.78,66.22,58.37,66.91,72.12,102.35,99.71,100.87,104.16,103.23,102.05,73.65,75.9,67.42,55.74,117.04,80.22,110.93,83.6,87.03,105.53,68.75,,30,965,36,29.09,
31.10.22 14:47:43,20.05,95.26,100.43,40.43,65.71,57.99,66.65,71.99,102.2,99.85,101.02,104.31,103.37,101.91,73.12,75.9,67.29,55.48,116.87,80.22,110.77,83.32,86.53,105.68,68.48,,30,965,36,29.1,
31.10.22 14:47:58,20.3,95.4,100.43,40.07,65.71,57.86,66.39,71.59,102.35,100,100.87,104.31,103.37,101.76,72.98,75.49,66.87,55.1,116.87,80.22,110.93,83.46,86.36,105.68,68.34,,30,965,36,29.1,
31.10.22 14:48:13,20.55,95.26,100.58,39.6,65.58,57.61,66,71.45,102.2,99.85,100.87,104.46,103.52,102.05,72.58,75.08,66.6,54.84,117.21,79.95,110.77,83.05,85.86,105.53,67.8,,30,965,36,29.11,
31.10.22 14:48:29,20.82,95.26,100.58,39.37,65.33,57.36,65.6,71.19,102.5,100,101.02,104.46,103.52,102.05,72.58,74.67,66.19,54.45,117.04,79.95,110.93,83.05,85.02,105.68,67.27,,30,965,36,29.13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
