Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
30.10.22 14:09:14,12.78,82.44,80.94,79.06,76.9,97.08,68.04,77.71,75.11,83.02,74.83,81.76,94.61,78.26,100,83.71,84.08,83.86,88.39,71.19,71.98,101.9,73.17,73.68,89.66,,30,965,36,28.55,
30.10.22 14:09:29,13.03,82.3,81.07,79.06,76.76,97.08,67.9,77.44,75.11,83.3,74.83,81.76,94.76,78.26,100.29,83.71,84.08,83.86,88.08,70.92,71.84,102.05,73.17,73.55,89.66,,30,965,36,28.56,
30.10.22 14:09:44,13.28,82.02,80.94,78.51,76.49,97.08,67.37,77.02,74.84,83.02,74.56,81.62,94.47,77.85,100.29,83.42,83.79,83.86,87.63,70.38,71.56,101.9,72.59,73.28,89.36,,30,965,36,28.56,
30.10.22 14:09:59,13.53,81.88,80.8,78.51,76.36,97.37,67.1,77.02,74.7,83.02,74.42,81.62,94.9,77.99,100.44,83.42,83.79,83.44,87.63,70.11,71.42,102.2,72.3,73.41,89.36,,30,965,36,28.58,
30.10.22 14:10:14,13.78,81.46,80.39,78.1,75.82,97.37,66.7,76.75,74.15,82.45,74.01,81.2,94.47,77.44,100.29,83,83.36,82.73,87.02,69.44,70.71,101.9,71.58,72.6,88.78,,30,965,36,28.6,
30.10.22 14:10:30,14.05,81.18,79.97,77.96,75.15,97.37,66.44,76.2,73.74,82.45,73.74,81.06,94.47,77.3,100.15,82.86,83.07,82.32,87.17,69.17,70.71,101.9,71.14,72.73,88.35,,30,965,36,28.6,
30.10.22 14:10:45,14.3,81.04,79.83,77.41,74.75,97.37,65.9,75.92,73.74,82.17,73.33,80.92,94.32,77.03,100.15,82.57,82.64,82.18,86.72,69.04,70.43,102.05,70.27,72.19,87.77,,30,965,36,28.6,
30.10.22 14:11:00,14.55,80.76,79.56,77.41,74.21,97.37,65.51,75.65,73.74,82.17,73.19,80.78,94.32,76.89,100,82.43,82.64,81.9,86.72,68.51,70.15,102.34,70.27,71.92,87.19,,30,965,36,28.63,
30.10.22 14:11:15,14.8,80.48,79.42,77,73.95,97.52,65.24,75.1,73.06,82.03,72.92,80.36,94.32,76.34,100.15,82.15,82.49,81.62,86.57,68.1,69.73,102.05,69.55,71.79,86.62,,30,965,36,28.63,
30.10.22 14:11:30,15.05,80.48,79.15,76.73,73.55,97.81,65.11,74.69,73.06,81.75,72.65,80.09,94.18,76.21,100.29,82.15,82.2,81.62,86.42,67.97,69.59,102.34,68.97,71.65,85.9,,30,965,36,28.66,
30.10.22 14:11:45,15.3,79.93,79.01,76.32,73.01,97.52,64.71,74.01,72.65,81.46,72.11,79.67,94.18,75.8,100.15,81.87,82.06,81.34,86.11,67.7,69.45,102.34,68.26,71.39,85.18,,30,965,36,28.66,
30.10.22 14:12:00,15.55,80.07,78.6,76.18,72.88,97.52,64.45,73.47,72.51,81.46,71.84,79.67,94.04,75.8,100.15,81.87,81.77,81.06,86.11,67.17,69.16,102.2,68.11,71.39,84.18,,30,965,36,28.67,
30.10.22 14:12:15,15.8,79.79,78.74,75.91,72.61,97.81,64.05,72.92,72.37,81.18,71.43,79.39,94.18,75.53,100.29,81.59,81.63,81.06,85.81,67.04,68.88,102.34,67.82,71.12,83.18,,30,965,36,28.69,
30.10.22 14:12:30,16.05,79.51,78.33,75.5,72.21,97.66,63.78,72.52,71.83,80.9,71.16,79.12,93.89,75.26,100.44,81.3,81.34,80.64,85.66,66.51,68.32,102.34,67.39,70.85,82.46,,30,965,36,28.7,
30.10.22 14:12:45,16.3,79.23,78.19,75.09,71.95,97.66,63.39,71.84,71.83,80.62,70.89,78.7,93.6,75.39,100.29,81.02,80.91,80.5,85.36,65.97,68.18,102.49,67.11,70.71,81.33,,30,965,36,28.7,
30.10.22 14:13:00,16.55,79.09,77.78,74.69,71.55,97.52,62.99,71.3,71.56,80.34,70.62,78.56,93.75,74.98,100.15,80.74,80.62,80.36,84.91,65.58,67.63,102.49,66.54,70.44,80.34,,30,965,36,28.71,
30.10.22 14:13:15,16.8,78.96,77.51,74.69,71.42,97.66,62.73,71.03,71.42,80.34,70.49,78.29,93.89,74.85,100.29,80.74,80.76,80.36,84.91,65.44,67.49,102.64,66.54,70.04,79.49,,30,965,36,28.73,
30.10.22 14:13:30,17.05,78.68,77.51,74.14,71.02,97.52,62.6,70.62,71.28,80.2,70.22,78.42,93.75,74.31,100.44,80.6,80.33,80.09,84.6,64.91,67.21,102.49,66.11,70.04,78.51,,30,965,36,28.73,
30.10.22 14:13:45,17.3,78.54,77.1,73.74,70.89,97.66,61.94,70.08,70.88,79.92,69.95,77.87,93.6,73.9,100.44,80.18,80.04,79.95,84.45,64.12,66.37,102.64,65.96,69.77,77.53,,30,965,36,28.74,
