name	term	lev	seq	value
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN2359_c1_g1	0.158540347597716
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN23828_c0_g1	0.44951198589876
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN24663_c0_g1	-0.218296086650111
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN27006_c0_g1	-0.592646160766085
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN2882_c0_g1	-0.238572036506286
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN29073_c0_g1	-0.647018903051989
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN293747_c0_g1	-0.00543361873377068
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN2966_c0_g1	-0.0547017200774309
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN307484_c0_g1	0.389162267616205
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN309472_c0_g1	-0.48760058792627
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN3112_c1_g2	0.170272844147101
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN32016_c0_g1	0.440220961748417
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN3277_c0_g1	0.462397615267707
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN334870_c0_g1	-0.293050695687283
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN3422_c0_g1	0.423009273274533
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN3454_c0_g1	0.327351119928182
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN34604_c0_g1	-1.68931572224469
"metabolic process"	GO:0043170;GO:0008152;GO:0044238;GO:0071704;GO:0006807;GO:0044237	3	TRINITY_DN41643_c2_g3	-0.542834012548644
