treatment,fragment_ID,colony_ID,genotype,site,tank.num,day.1,day.2,day.3,day.4,day.5,day.6,day.7,day.8,day.9,day.10,day.11,day.12,day.13,day.14,day.15,day.16,day.17,day.18,day.19,day.20,day.21,day.22,day.23,day.24,day.25,day.26,day.27,day.28,day.29,day.30,day.31,day.32
hot,ACR_20.7,ACR20,8,Mahana,2,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,CRIOBE
ambient,ACR_9.1,ACR9,9,Mahana,21,sampled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ambient,ACR_9.2,ACR9,9,Mahana,21,alive,alive,alive,alive,alive,alive,alive,sampled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ambient,ACR_9.3,ACR9,9,Mahana,21,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,sampled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ambient,ACR_9.4,ACR9,9,Mahana,21,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,sampled,NA,NA,NA,NA,NA,NA,NA,NA,NA
ambient,ACR_9.5,ACR9,9,Mahana,21,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,sampled,NA
ambient,ACR_9.6,ACR9,9,Mahana,21,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,CRIOBE
ambient,ACR_9.7,ACR9,9,Mahana,21,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,alive,CRIOBE
hot,ACR_21.1,ACR21,9,Mahana,15,sampled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hot,ACR_21.2,ACR21,9,Mahana,15,alive,alive,alive,alive,alive,alive,alive,sampled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
