"","5","8","12","16","20","24"
"TRINITY_DN113253_c0_g1",13,33,18,29,24,35
"TRINITY_DN113263_c0_g1",8,34,9,23,31,34
"TRINITY_DN113843_c0_g1",11,9,9,14,8,19
"TRINITY_DN113899_c0_g1",12,32,4,25,20,10
"TRINITY_DN113880_c0_g2",6,17,55,46,15,4
"TRINITY_DN114333_c0_g1",27,31,87,33,63,27
"TRINITY_DN114322_c1_g2",4,32,16,28,11,37
"TRINITY_DN114386_c0_g1",15,15,12,23,3,0
"TRINITY_DN114567_c0_g1",1,16,9,11,18,9
"TRINITY_DN114815_c0_g1",17,27,35,44,26,19
"TRINITY_DN114825_c0_g1",16,8,6,35,0,26
"TRINITY_DN114814_c0_g1",2,12,48,36,36,43
"TRINITY_DN115004_c1_g1",18,43,42,33,30,48
"TRINITY_DN114999_c0_g1",78,67,64,67,75,59
"TRINITY_DN114995_c0_g1",12,18,10,23,38,30
"TRINITY_DN115282_c0_g1",42,52,28,60,43,59
"TRINITY_DN115254_c0_g2",16,14,15,9,15,8
"TRINITY_DN115529_c0_g1",92,151,164,180,199,179
"TRINITY_DN115681_c0_g1",20,28,16,4,24,13
"TRINITY_DN116537_c0_g1",10,15,24,0,39,9
"TRINITY_DN116527_c0_g1",4,13,17,18,4,3
"TRINITY_DN116569_c0_g2",14,17,12,10,21,6
"TRINITY_DN116552_c0_g1",30,58,49,55,33,29
"TRINITY_DN116831_c0_g2",24,33,35,22,32,33
"TRINITY_DN116831_c1_g2",57,62,50,93,88,88
"TRINITY_DN117135_c0_g1",9,7,15,13,13,29
"TRINITY_DN117296_c0_g1",65,149,60,229,75,98
"TRINITY_DN117238_c0_g1",170,12,10,0,45,109
"TRINITY_DN117252_c1_g2",8,6,25,17,27,50
"TRINITY_DN117289_c0_g1",122,195,159,114,203,114
"TRINITY_DN117298_c0_g1",6,12,12,31,7,0
"TRINITY_DN117593_c0_g1",4,14,9,8,15,11
"TRINITY_DN117565_c0_g1",6,7,28,8,11,11
"TRINITY_DN117592_c0_g1",31,60,80,32,76,20
"TRINITY_DN117615_c0_g1",34,50,91,102,39,63
"TRINITY_DN117875_c0_g1",7,15,57,27,25,8
"TRINITY_DN118127_c0_g1",12,4,21,3,12,7
"TRINITY_DN118121_c0_g2",0,19,19,15,18,6
"TRINITY_DN119214_c0_g1",14,11,6,5,27,8
"TRINITY_DN119214_c0_g2",15,27,28,11,10,19
"TRINITY_DN120439_c0_g1",16,29,44,33,16,2
"TRINITY_DN120466_c1_g1",1,26,10,33,48,21
"TRINITY_DN120409_c1_g1",26,28,19,40,45,18
"TRINITY_DN120978_c0_g1",43,62,83,60,91,64
"TRINITY_DN120926_c0_g1",0,8,9,14,36,15
"TRINITY_DN120991_c0_g1",114,218,180,185,163,189
"TRINITY_DN120919_c0_g1",112,164,254,283,224,219
"TRINITY_DN121442_c0_g1",17,5,15,7,6,23
"TRINITY_DN121490_c0_g1",17,37,36,30,37,32
"TRINITY_DN121490_c0_g5",15,39,33,35,11,43
"TRINITY_DN122680_c0_g1",31,6,33,23,8,10
"TRINITY_DN122654_c0_g1",4,24,6,22,10,19
"TRINITY_DN122919_c3_g3",12,27,22,33,10,31
"TRINITY_DN122955_c0_g1",22,4,15,11,13,16
"TRINITY_DN123686_c0_g1",12,6,13,37,6,1
"TRINITY_DN124164_c0_g1",11,22,19,20,10,4
"TRINITY_DN124327_c0_g2",67,23,38,133,158,62
"TRINITY_DN124351_c0_g1",14,21,63,33,5,0
"TRINITY_DN125846_c0_g1",4,19,5,60,35,2
