ColonyID,treatment,genotype,tank.num,ExperimentalDay,Period,Photo_date,Photo_ID,Red_standard,Green_standard,Blue_standard,Red_coral,Green_coral,Blue_coral,Tech,Notes
ACR-17,hot,5,4,TP2,Acclimation,20220325,,,,,,,,,
ACR-18,hot,6,22,TP2,Acclimation,20220325,,,,,,,,,
ACR-19,hot,7,16,TP2,Acclimation,20220325,,,,,,,,,
ACR-20,hot,8,2,TP2,Acclimation,20220325,,,,,,,,,
ACR-21,hot,9,15,TP2,Acclimation,20220325,,,,,,,,,
ACR-22,hot,10,12,TP2,Acclimation,20220325,,,,,,,,,
ACR-23,hot,11,23,TP2,Acclimation,20220325,,,,,,,,,
ACR-24,hot,12,6,TP2,Acclimation,20220325,,,,,,,,,
ACR-1,ambient,1,17,TP3,RampUp,20220327,,,,,,,,,
ACR-2,ambient,2,14,TP3,RampUp,20220327,,,,,,,,,
ACR-3,ambient,3,7,TP3,RampUp,20220327,,,,,,,,,
ACR-4,ambient,4,24,TP3,RampUp,20220327,,,,,,,,,
ACR-5,ambient,5,13,TP3,RampUp,20220327,,,,,,,,,
ACR-6,ambient,6,9,TP3,RampUp,20220327,,,,,,,,,
ACR-7,ambient,7,3,TP3,RampUp,20220327,,,,,,,,,
ACR-8,ambient,8,19,TP3,RampUp,20220327,,,,,,,,,
ACR-9,ambient,9,21,TP3,RampUp,20220327,,,,,,,,,
ACR-10,ambient,10,5,TP3,RampUp,20220327,,,,,,,,,
ACR-11,ambient,11,1,TP3,RampUp,20220327,,,,,,,,,
ACR-12,ambient,12,11,TP3,RampUp,20220327,,,,,,,,,
ACR-13,hot,1,10,TP3,RampUp,20220327,,,,,,,,,
ACR-14,hot,2,8,TP3,RampUp,20220327,,,,,,,,,
ACR-15,hot,3,20,TP3,RampUp,20220327,,,,,,,,,
ACR-16,hot,4,18,TP3,RampUp,20220327,,,,,,,,,
ACR-17,hot,5,4,TP3,RampUp,20220327,,,,,,,,,
ACR-18,hot,6,22,TP3,RampUp,20220327,,,,,,,,,
ACR-19,hot,7,16,TP3,RampUp,20220327,,,,,,,,,
ACR-20,hot,8,2,TP3,RampUp,20220327,,,,,,,,,
ACR-21,hot,9,15,TP3,RampUp,20220327,,,,,,,,,
ACR-22,hot,10,12,TP3,RampUp,20220327,,,,,,,,,
ACR-23,hot,11,23,TP3,RampUp,20220327,,,,,,,,,
ACR-24,hot,12,6,TP3,RampUp,20220327,,,,,,,,,
ACR-1,ambient,1,17,TP3,RampUp,20220329,,,,,,,,,
ACR-2,ambient,2,14,TP3,RampUp,20220329,,,,,,,,,
ACR-3,ambient,3,7,TP3,RampUp,20220329,,,,,,,,,
ACR-4,ambient,4,24,TP3,RampUp,20220329,,,,,,,,,
ACR-5,ambient,5,13,TP3,RampUp,20220329,,,,,,,,,
ACR-6,ambient,6,9,TP3,RampUp,20220329,,,,,,,,,
ACR-7,ambient,7,3,TP3,RampUp,20220329,,,,,,,,,
ACR-8,ambient,8,19,TP3,RampUp,20220329,,,,,,,,,
ACR-9,ambient,9,21,TP3,RampUp,20220329,,,,,,,,,
ACR-10,ambient,10,5,TP3,RampUp,20220329,,,,,,,,,
ACR-11,ambient,11,1,TP3,RampUp,20220329,,,,,,,,,
ACR-12,ambient,12,11,TP3,RampUp,20220329,,,,,,,,,
ACR-13,hot,1,10,TP3,RampUp,20220329,,,,,,,,,
ACR-14,hot,2,8,TP3,RampUp,20220329,,,,,,,,,
ACR-15,hot,3,20,TP3,RampUp,20220329,,,,,,,,,
ACR-16,hot,4,18,TP3,RampUp,20220329,,,,,,,,,
ACR-17,hot,5,4,TP3,RampUp,20220329,,,,,,,,,
ACR-18,hot,6,22,TP3,RampUp,20220329,,,,,,,,,
ACR-19,hot,7,16,TP3,RampUp,20220329,,,,,,,,,
ACR-20,hot,8,2,TP3,RampUp,20220329,,,,,,,,,
ACR-21,hot,9,15,TP3,RampUp,20220329,,,,,,,,,
ACR-22,hot,10,12,TP3,RampUp,20220329,,,,,,,,,
ACR-23,hot,11,23,TP3,RampUp,20220329,,,,,,,,,
ACR-24,hot,12,6,TP3,RampUp,20220329,,,,,,,,,
ACR-1,ambient,1,17,TP4,Heatwave,20220331,IMG_7550,234.591,115.229,234.6,169.696,148.491,114.518,Kristen,Tank photo = IMG_7549
ACR-2,ambient,2,14,TP4,Heatwave,20220331,IMG_7543,216.891,93.762,204.919,202.047,176.815,133.185,Kristen,Tank photo = IMG_7542
ACR-3,ambient,3,7,TP4,Heatwave,20220331,IMG_7526,186.068,70.377,163.859,160.967,137.723,67.034,Kristen,Tank photo = IMG_7525
ACR-4,ambient,4,24,TP4,Heatwave,20220331,IMG_7564,208.649,77.08,157.784,182.333,160.649,87.661,Kristen,Tank photo = IMG_7563
ACR-5,ambient,5,13,TP4,Heatwave,20220331,IMG_7541,239.843,113.285,226.975,169.867,143.66,91.95,Kristen,Tank photo = IMG_7540
ACR-6,ambient,6,9,TP4,Heatwave,20220331,IMG_7530,240.91,121.616,228.731,160.771,135.528,68.736,Kristen,Tank photo = IMG_7529
ACR-7,ambient,7,3,TP4,Heatwave,20220331,IMG_7518,219.042,102.999,214.852,179.518,160.752,104.783,Kristen,Tank photo = IMG_7517
ACR-8,ambient,8,19,TP4,Heatwave,20220331,IMG_7554,221.418,100.579,212.014,160.506,129.129,88.25,Kristen,Tank photo = IMG_7553
ACR-9,ambient,9,21,TP4,Heatwave,20220331,IMG_7558,254.87,125.489,230.849,179.81,152.557,95.922,Kristen,Tank photo = IMG_7557
ACR-10,ambient,10,5,TP4,Heatwave,20220331,IMG_7522,200.315,76.663,181.59,158.638,139.837,86.805,Kristen,Tank photo = IMG_7521
ACR-11,ambient,11,1,TP4,Heatwave,20220331,IMG_7513,245.08,127.85,232.465,155.36,123.456,69.368,Kristen,Tank photo = IMG_7512
ACR-12,ambient,12,11,TP4,Heatwave,20220331,IMG_7535,200.799,87.26,178.702,135.949,119.072,64.871,Kristen,Tank photo = IMG_7534
ACR-13,hot,1,10,TP4,Heatwave,20220331,IMG_7533,242.428,122.815,209.456,166.887,141.18,72.954,Kristen,Tank photo = IMG_7531
ACR-14,hot,2,8,TP4,Heatwave,20220331,IMG_7528,169.893,58.011,128.889,166.676,142.492,69.83,Kristen,Tank photo = IMG_7527
